comment,score,hospital,en
เคยได้ไปลองใช้บริการคลีนิคนอกเวลาของรามาเมื่อต้นปีที่แล้ว ได้เข้ารักษาเลเซอร์บนในหน้า พยสบสลกับคุณหมอใจดีมากๆ เป็นกันเอง ดูแลอย่างทั่วถึง รอคิวไม่นานเลย แต่ต้องโทรไปจองล่วงหน้าก่อนน่ะค่ะ การรักศึกษาของคุณหมอมไ่เจ็บเลยค่ะ ไม่ถึง5นาทีการรักษา ผลลัพที่ออกมารอยใบบนหน้าหายหมดเลยค่ะ ค่ารักรักษาพยนบาลไม่แพงด้วย,5,ramathibodi-hospital,"Ever were going to try to use the service, the clinic, part of the Rama at the beginning of last treatment of laser on in the page.... with the doctor, very kind and friendly take care of, thoroughly wait queues shortly, but to call and reserve in advance. love to study your doctor. ... can't hurt. less than 5 minutes, the treatment results, out-notch leaves on the page missing. value, love the treatment.... not expensive."
ผมเคยไปทำเลสิกที่นี้ ดีมากครับตอนนี้ผ่ามาจะ2ปีแล้วยังไม่มีผลค้างเคียงอะไรและราคาก็ถูกดีด้วย ตอนผ่าอาจจะดูน่ากลัวไปซะหน่อย แต่พอถึงเวลาผ่าจริงๆแล้วไม่รู้สึกเจ็บเลยครับ เพราะมีการหยอดยาชาก่อนผ่า,4,ramathibodi-hospital,"I've been to Lasik the this good now. coming to 2 years now, no side of anything and the price was good with the middle of the surgery may seem scary to. but when it's time. actually, don't feel hurt. this is because there are drops anesthetic."
รักษามาหลายปีแล้วตั้งแต่อายุ14 ตอนนี้จะจบปริญญาตรีแล้ว ตั้งแต่นอนแอดมิดที่ รพ จนหายดีออกมาใช้ชีวิตได้เป็นปกติ โดยเฉพาะคลินิกพรีเมี่ยม ไม่ต้องรอนาน มีความสะดวกรวดเร็วทุกขั้นตอนตั้งแต่จ่ายเงินไปถึงจ่ายยา ค่ารักษาไม่ได้แพงเกินไปเมื่อเทียบเท่ากับเอกชนหลายๆที่ บริการดีมากๆ คุณหมอดูแลเอาใจใส่ดี อยากให้ทุกคนมารักษาที่นี่,5,ramathibodi-hospital,"Treatment for years since the age of 14 will now finish my degree, from sleep adware Middlesbrough at the hospital until recovered well, out to live a life as normal, especially clinical premium not have to wait long with convenient, fast, every step from pay to pay, drug costs are not too expensive compared with the private sector, many services, good doctor care best want to anyone."
"ที่ตึกพระเทพชั้น 2 สถานที่เครื่องมือดูทันสมัย 
แต่ที่ห้องวัดความดัน มีคนที่วัด(คิดว่าไม่ใช่พยาบาลเพราะใส่ชุดสีม่วง) ชอบดุคนที่มาวัด พูดเสียงแข็งใส่คนที่มาวัดความดัน ทั้งๆที่พยาบาลอีกคนที่ใส่ชุดพยาบาลพูดเพราะ อยากให้ปรับปรุง 

มาหาหมอที่แผนกศัลยกรรม อาจารย์หมอตรวตแล้วบอกต้องผ่าตัด บอกแค่ว่าต้องผ่าตัดถึงจะหายตอนนั้นช็อคเรื่องผ่าตัดอยู่เลยไม่ได้ถามอะไรเลย แล้วหมอกก็ไปเลยไม่ได้บอกว่าจริงๆเป็นอะไร ระยะไหน (ริดสีดวง) แล้วก็นัดวันผ่า พยาบาลที่นัดคิวก็ไม่สนเวลาเราทวนสิ่งที่บอกมาว่าถูกต้องไหม บอกแค่ว่าตามนั้นแหละ สรุปแล้วเหมือนจะดีแต่รอดูช่วงผ่าตัดก่อน",3,ramathibodi-hospital,"Building the floor 2. place tools, modern look 
But the room, measure the pressure with the people at the temple(think not nurse because wearing purple) like materials who come to the temple already put people measure the pressure, in spite of the nurse, the other a man wearing a nurse say, because I want to improve 

Come to the doctor at the surgery Department Professor, doctor and told need surgery, just said that need surgery to be healed was shocked about the surgery. did not ask anything. then fog it. can't say really what is within you (hemorrhoids) and the date. the nurse strikes the cue it not time we reviewed what tell me what, right? just said it. the conclusion then the same will be good, wait and see during surgery before."
"Its a public hospital so service is bad (nurses are completely unfriendly and doctors have god complex plus horrifying bed side manner) but they will keep you alive (nothing to do with quality of life) with decent drug collection. Young doctors are generally very friendly but they are busy all the time due to the amount of patients (like canned tuna) so don't expect them to spend too much time diagnosing you. You have to come early in the morning to ensure you're in queue and the wait 1-2 (bad days) hours behind schedule to get to see the doctor for < 15 min or less (all together door to door 8-9hrs). 

Additionally you can call all the 8 numbers on the websites from normal clinic to Premium and wait 15 minutes on each number just for them to hang up on you or divert you elsewhere then hang up on you.....

Worst are the guys doing the schedule because they are very consistent in demonstrating the inability to manage schedules (or not) because you will ""always"" have to wait 1-2 hours ""after"" your appointment schedule to see the doctor but they also cant tell you that so you cant go anywhere and have to hang around the front door. 

In the better days you will get to sit inside the doctor's room to wait because the doctor is no where to be found and nobody will know when he/she will come back. If you ask the nurse they will give you the ""i dont know and I couldnt care less"" look and turn away in annoyance. 

But yes, they have great ability (the doctors definitely know what they are doing) to use ur tax fund to keep you alive, two stars for that!!

Updated review for ER: The best ER u can probably find in Bangkok as they are 24hrs fully staffed with specialty doctors (not just general doctors like other hospitals during off business hours). They are jammed packed but they are fully equipped and by that I mean they have CT scanner in the ER room - this is not something we find everywhere. Doctors know what they are doing and fully equipped with the tools to keep u alive.

Even better update:

Just decided to go for full blown annual health check at Rama (Feb 2016) and here are the pros and cons:

Cons:
As a foreigner who pays tax in Thailand ur sort of half screwed. They are not equipped to handle foreign language so if u cant google medical terms properly u might go home thinking everything is perfect when its not...A less life threatening case is that if u pay tax to Thailand ur entitled to Thai citizen price 30% less or so which is surprisingly logical BUT not without flaws...u have to bring the ""physical"" ""original"" tax receipt from revenue dept to show then which u DONT get if u file electronically....so....who does NOT file electronically? I dont know one....maybe my parents but they're 75....

Pros:
Omg its a very pleasant surprise that this clinic operates with the speed, manner, and professionalism that you'd expect in that of top 5 high end private hospital. The ambiance, the friendliness, politeness (which usually does not happen in public hospital), and the facility is great. I am very impressed with the speed at which they operate so thats 8.30-12:00 easy. Just like u would get at private hospital. 4th floor Prathep bldg zone Q - they did an exceptional job of scanning our x ray and ultrasound result 2-3 times just to make sure its accurate and they call u of the pending result (in case there is a need for special radiologist to check the films) in less than 4 hours after doctor visit. Overall - hell yeah I will do my Health check here going forward for 1/3 the price i would pay otherwise...:",4,ramathibodi-hospital,"Its a public hospital so service is bad (the nurses are completely unfriendly and doctors have a god complex plus horrifying bed side manner) but they will keep you alive (nothing to do with quality of life) with decent drug collection. Young doctors are generally very friendly but they are busy all the time due to the amount of patients (like canned tuna) so don't expect them to spend too much time diagnosing you. You have to come early in the morning to ensure you're in queue and the wait 1-2 (bad days) hours behind schedule to get to see the doctor for < 15 min or less (all together door to door 8-9hrs). 

Additionally, you can call all the 8 numbers on the websites from the normal clinic to Premium and wait 15 minutes on each number just for them to hang up on you or divert you elsewhere then hang up on you..... 

The Worst are the guys doing the schedule because they are very consistent in demonstrating the inability to manage schedules (or not) because you will ""always"" have to wait 1-2 hours ""after"" your appointment schedule to see the doctor but they also cant tell you that so you cant go anywhere and have to hang around the front door. 

In the better days you will get to sit inside the doctor's room to wait because the doctor is no where to be found and nobody will know when he/she will come back. If you ask the nurse they will give you the ""i dont know and I couldnt care less"" look and turn away in annoyance. 

But yes, they have great ability (the doctors definitely know what they are doing) to use ur tax fund to keep you alive, two stars for that!! 

Updated review for ER: The best ER u can probably find in Bangkok as they are 24hrs fully staffed with specialty doctors (not just general doctors like other hospitals during off business hours). They are jammed packed, but they are fully equipped and by that I mean they have a CT scanner in the ER room - this is not something we find everywhere. Doctors know what they are doing and fully equipped with the tools to keep u alive. 

Even better update: 

Just decided to go for full blown annual health check at Rama (Feb 2016) and here are the pros and cons: 

Cons: 
As a foreigner who pays tax in Thailand ur sort of half screwed. They are not equipped to handle foreign language so if u cant google medical terms properly u might go home thinking everything is perfect when its not...A less life threatening case is that if u pay tax to Thailand ur entitled to Thai citizen price 30% less or so which is surprisingly logical BUT not without flaws...u have to bring the ""physical"" ""original"" tax receipt from revenue dept to show then which u DONT get if u file electronically.... so.... who does NOT file electronically? I dont know one.... maybe my parents but they're 75.... 

Pros: 
Omg its a very pleasant surprise that this clinic operates with the speed, manner, and professionalism that you'd expect in that of the top 5 high end private hospital. The ambiance, the friendliness, politeness (which usually does not happen in public hospital), and the facility is great. I am very impressed with the speed at which they operate so thats 8.30-12:00 easy. Just like u would get at a private hospital. 4th floor Prathep bldg zone Q - they did an exceptional job of scanning our x-ray and ultrasound result with 2-3 times just to make sure its accurate and they call u of the pending result (in case there is a need for special radiologist to check the films) in less than 4 hours after doctor visit. Overall - hell yeah I will do my Health check here going forward for 1/3 the price i would pay otherwise...:"
เพื่อนของดิฉันเป็นโรคเกี่ยวกับปอด ปอดรั่ว หมอที่นีดูแลและรักษาดีมาก ทำสุดความสามารถ เป็นห่วงและเข้าใจความรู้สึกของคนไข้มากๆเลยค่ะ และได้ผ่าตัดปอดมา 2 ครั้งแล้ว เริ่มเป็นมาตั้งแต่เด็กจนต้องย้ายแผนกมาเป็นแผนกผู้ใหญ่ต้องเปลี่ยนหมอดูแล (หมอเจ้าของไข้) แต่หมอท่านแรกที่รักษาตอนอยู่แผนกเด็กก็ยังมาดูแลเป็นอย่างดีมากๆเลยค่ะ จนกว่าจะหายดีเลยคะ,5,ramathibodi-hospital,"My friend is a disease about pulmonary leak doctor at this care and treatment very good, the best of your ability is concerned, and understand the feelings of patients. and surgical lung 2 times, then start as from the child, until the need to move Department is the Department adults need to change the teller and (the doctor) but doctor, you first treatment at the children's Department was also well-groomed. until it healed."
วันนั้นไปตรวจเนื่องจากปัญหาการนอนกรน ที่โรงพยาบาลรามาฯ แผนกหูคอจมูกแบบพรีเมียม สถานที่สะอาดกว้างขวางดี บริการดีมาก ไม่ต้องรอนาน อาจาย์หมอเป็นผู้ตรวจเอง พูดจาดีน่ารักจริงๆ และส่งต่อไปห้องตรวจการนอนหลับก็ได้คิวในวันต่อมาเลยทีเดียว อาทิตย์ต่อมาฟังผลและวางแผนการรักษา โดยให้ลดน้ำหนักพร้อมส่งตัวไปนัดที่แผนกโภชนาการ ซึ่งคิวก็ไม่นานมาก รวดเร็วไม่เสียเวลามาก,5,ramathibodi-hospital,"That day to check due to the problem of snoring at the hospital, a. Department of ear, nose and throat premium location, clean, spacious, good service, very good not long to wait... doctor who is own good really cute and forward to the check sleep. q later in the day. weeks later, listen to the results and treatment plan by lose weight with sent to go to an appointment at the nutrition Department, which the queue was not very long, fast, not wasting much time"
"แนะนำโรงพยาบาลรามาธิบดี
เคยผ่าตัดส่องกล้องช็อคโกแลตซีสรังไข่และรักษาต่อเนื่องที่นี่ค่ะ คุณหมอและพยาบาลให้บริการดีค่ะ รอคิวยาวหน่อย แต่คุ้มค่าค่ะ ราคาไม่แพงการบริการดี สถานที่สะอาด อาหารอร่อย แต่คนค่อนข้างเยอะ รักษาที่นี่ได้ให้ความรู้กับนักศึกษาแพทย์ เพราะได้แชร์เคสให้กับนักศึกษา เพื่อเป็นความรู้ในการรักษาค่ะ",5,ramathibodi-hospital,"Recommended ramathibodi hospital 
Ever laparoscopic chocolate cyst ovary and treatment continued here. doctor and nurse services, great long queues, but worth it. the price is not expensive, service good, place clean, food delicious, but quite a lot treatment. educate medical students because it shared a case with students to become knowledgeable in the treatment."
พาย่ามารักษาโรคไต โรงพยาบาลให้การต้อนรับดีมาก เเละพูดกับคนไข้ดีมาก เเละมีความสุขทุกครั้งที่ได้ไปรับการรักษาที่นี่ การที่คนเราเป็นโรคไตนั้น มันเกิดมาจากการที่เรานั้นกินเค็มมากเกิน เเละถ้าไม่อยากเป้นโรคไต อย่ากินเค็มมาก เเละลดให้กินอาหารที่พอดีเเละอย่าเติมรสเพิ่มให้มันพอดี ตอนนี้ย่ากินอาหารได้เเต่ย่ากินอาหารที่รสจืดมาก เเละมีบางครั้งอาจจะมีกินรสจัดบ้างเเต่นานๆๆครั้ง อย่าให้คนเเก่อยู่คนเดี่ยวนะเพราะเเกจะกินอาหารรสจัดเเกจะไม่ห่วงสุขภาพตัวเอง,5,ramathibodi-hospital,"Take don't cure the disease, kidney hospital, welcomed the very good and spoke to the patient very good and happy time to get treatment here that people kidney disease, it is born from, we eat salty, too much and if don't want to backpack the kidney disease do not eat very salty, and reduce to eat foods that fit and don't fill the flavor added to it fit now, do not eat food but do not eat the food very tasteless. and may occasionally have to eat spicy. but. up till the time don't give people old people wait, because you will eat spicy food, you will not worry about health itself."
รักษาเนื้องอกที่มดลูกที่โรงพยาบาลรามาพรีเมียม เพราะได้รับคำแนะนำจากพี่ที่ทำงายว่าหายได้ค่ะ ไปหาคุณหมอท่านเดียวกันกับที่รักษาพี่เขา คุณหมอใจดีมากค่ะ ถามไถ่ซักอาการอย่างละเอียด การส่องกล้องทันสมัย ไม่เจ็บแต่อย่างใด รอคิวไม่นานมาก โรงพยาบาลสะอาด ใหม่ ทันสมัยด้วยค่ะ อยากให้สาวๆลองตรวจภายในเป็นประจำกันด้วยนะคะ,5,ramathibodi-hospital,"Treatment of fibroids the uterus at the hospital a premium, because getting advice from me at work that lost. went to the doctor the same treatment his brother, and the doctor kind removed, wash the symptoms a thorough laparoscopy, modern, no hurt, but somehow the waiting queue is not very long, clean hospital, new, modern. want you ladies to try to doctor regularly."
