en,score,hospital,sen
try use service clinic Rama beginning treatment laser page .... doctor kind friendly care thoroughly wait queue shortly reserve advance love study -PRON- doctor ... hurt minute treatment result notch leave page missing value love treatment .... expensive,5,ramathibodi-hospital,1
-PRON- Lasik good come year price good middle surgery scary -PRON- time actually feel hurt drop anesthetic,4,ramathibodi-hospital,1
treatment year age 14 finish -PRON- degree sleep adware Middlesbrough hospital recover live life normal especially clinical premium wait long convenient fast step pay pay drug cost expensive compare private sector service good doctor care good want,5,ramathibodi-hospital,1
"-PRON- public hospital service bad nurse completely unfriendly doctor god complex plus horrifying bed manner -PRON- -PRON- alive quality life decent drug collection young doctor generally friendly -PRON- busy time patient like tuna expect -PRON- spend time diagnose -PRON- -PRON- come early morning ensure -PRON- queue wait bad day hour schedule doctor 15 min door door 9hrs 

 additionally -PRON- number website normal clinic Premium wait 15 minute number -PRON- hang -PRON- divert -PRON- hang -PRON- ..... 

 bad guy schedule -PRON- consistent demonstrate inability manage schedule -PRON- wait hour -PRON- appointment schedule doctor -PRON- tell -PRON- -PRON- hang door 

 day -PRON- sit inside doctor room wait doctor find know -PRON- -PRON- come -PRON- ask nurse -PRON- -PRON- know -PRON- care look turn away annoyance 

 yes -PRON- great ability doctor definitely know -PRON- use ur tax fund -PRON- alive star 

 update review ER good er u probably find Bangkok -PRON- 24hrs fully staff specialty doctor general doctor like hospital business hour -PRON- jam pack -PRON- fully equip -PRON- mean -PRON- CT scanner ER room -PRON- find doctor know -PRON- fully equip tool u alive 

 better update 

 decide blow annual health check Rama Feb 2016 pro con 

 con 
 foreigner pay tax Thailand ur sort half screw -PRON- equip handle foreign language u google medical term properly u home think perfect -PRON- ... life threaten case u pay tax Thailand ur entitle Thai citizen price 30 surprisingly logical flaw ... u bring physical original tax receipt revenue dept u DONT u file electronically .... .... file electronically -PRON- know .... maybe -PRON- parent -PRON- 75 .... 

 pro 
 Omg -PRON- pleasant surprise clinic operate speed manner professionalism -PRON- expect high end private hospital ambiance friendliness politeness usually happen public hospital facility great -PRON- impressed speed -PRON- operate s 8.30 12:00 easy like u private hospital 4th floor Prathep bldg zone Q -PRON- exceptional job scan -PRON- x ray ultrasound result time sure -PRON- accurate -PRON- u pende result case need special radiologist check film hour doctor visit overall hell yeah -PRON- -PRON- Health check forward 1/3 price pay ...",4,ramathibodi-hospital,1
-PRON- friend disease pulmonary leak doctor care treatment good good -PRON- ability concern understand feeling patient surgical lung time start child need Department Department adult need change teller doctor doctor -PRON- treatment child Department groom -PRON- heal,5,ramathibodi-hospital,1
day check problem snore hospital a. Department ear nose throat premium location clean spacious good service good long wait ... doctor good cute forward check sleep q later day week later listen result treatment plan lose weight send appointment nutrition Department queue long fast waste time,5,ramathibodi-hospital,1
"recommend ramathibodi hospital 
 laparoscopic chocolate cyst ovary treatment continue doctor nurse service great long queue worth -PRON- price expensive service good place clean food delicious lot treatment educate medical student -PRON- share case student knowledgeable treatment",5,ramathibodi-hospital,1
cure disease kidney hospital welcome good speak patient good happy time treatment people kidney disease -PRON- bear -PRON- eat salty want backpack kidney disease eat salty reduce eat food fit fill flavor add -PRON- fit eat food eat food tasteless occasionally eat spicy till time people old people wait -PRON- eat spicy food -PRON- worry health -PRON-,5,ramathibodi-hospital,1
treatment fibroid uterus hospital premium advice -PRON- work lose doctor treatment -PRON- brother doctor kind remove wash symptom thorough laparoscopy modern hurt wait queue long clean hospital new modern want -PRON- lady try doctor regularly,5,ramathibodi-hospital,1
advice medical team inquire internet communicate quickly conveniently registered online life reservation online especially drug custom way ramathibodi hospital send pharmaceutical thank -PRON- good sun treatment review matter doctor service listen,5,ramathibodi-hospital,1
